POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,0,0.0,0.0,13.0,15.384615384615385,11.353846153846156,2,6,1.3076923076923077,0,3.6923076923076925
1,0,0.9999990000010001,0.07142856632653098,14.0,28.57142857142857,17.02857142857143,4,7,1.2857142857142858,0,3.357142857142857
13,8,0.23809522675737013,0.07167235470418992,20.928571428571427,38.907849829351534,23.93456850316919,114,155,1.546075085324232,2,4.467576791808874
3,4,-0.1428571224489825,0.09589040964533686,9.125,38.35616438356164,18.992465753424657,28,33,1.5068493150684932,0,4.082191780821918
2,0,0.99999950000025,0.399999920000016,5.0,40.0,18.0,2,4,2.0,0,6.6
8,6,0.14285713265306196,0.14736841950138507,31.666666666666668,44.21052631578947,30.350877192982455,42,51,1.6631578947368422,0,4.8
1,8,-0.7777776913580343,0.06976744131963224,43.0,47.286821705426355,36.11472868217054,61,82,1.5968992248062015,3,4.666666666666667
5,3,0.24999996875000394,0.08791208694602103,91.0,48.35164835164835,55.74065934065934,44,55,1.6593406593406594,0,4.813186813186813
23,10,0.3939393820018369,0.08168316811464563,57.714285714285715,39.851485148514854,39.026308345120235,161,231,1.5198019801980198,3,4.51980198019802
3,0,0.9999996666667778,0.11999999520000018,25.0,52.0,30.8,13,17,1.76,0,4.72
6,2,0.4999999375000079,0.11111110956790125,8.0,37.5,18.2,27,41,1.5,2,4.291666666666667
0,0,0.0,0.0,10.0,40.0,20.0,4,7,1.5,0,4.3
10,6,0.24999998437500096,0.04494382009847241,35.6,35.1123595505618,28.284943820224722,125,182,1.3595505617977528,2,4.095505617977528
6,4,0.19999998000000202,0.08928571348852042,16.0,42.857142857142854,23.542857142857144,48,56,1.5,1,4.392857142857143
11,7,0.2222222098765439,0.039130434697542536,25.555555555555557,36.52173913043478,24.830917874396135,168,233,1.3847826086956523,2,4.171739130434783
0,0,0.0,0.0,9.0,11.11111111111111,8.044444444444444,1,3,1.1111111111111112,0,3.2222222222222223
5,1,0.6666665555555741,0.08219177969600303,12.166666666666666,42.465753424657535,21.85296803652968,31,37,1.5342465753424657,0,4.273972602739726
2,0,0.99999950000025,0.07999999680000013,12.5,32.0,17.8,8,12,1.32,0,4.04
6,3,0.33333329629630043,0.08823529325259517,11.333333333333334,59.80392156862745,28.454901960784316,61,70,1.6470588235294117,0,4.470588235294118
3,5,-0.24999996875000394,0.05263157860110804,19.0,50.6578947368421,27.863157894736844,77,83,1.638157894736842,7,4.6644736842105265
1,0,0.9999990000010001,0.499999750000125,2.0,50.0,20.8,1,2,2.0,0,5.5
10,4,0.42857139795918586,0.06730769198409764,16.0,41.34615384615385,22.93846153846154,86,122,1.5528846153846154,0,4.721153846153846
4,9,-0.3846153550295881,0.0833333327991453,19.5,42.94871794871795,24.97948717948718,67,86,1.5705128205128205,1,4.4743589743589745
17,9,0.30769229585798863,0.08387096747138398,77.5,37.096774193548384,45.83870967741936,115,160,1.4548387096774194,0,4.329032258064516
15,8,0.3043478128544429,0.07348242788024784,62.6,38.65814696485623,40.50325878594249,121,177,1.4696485623003195,2,4.095846645367412
11,8,0.15789472853185638,0.1091954016712908,11.6,36.7816091954023,19.35264367816092,64,100,1.4655172413793103,0,4.350574712643678
8,1,0.7777776913580343,0.03321033198077368,14.263157894736842,38.00738007380074,20.908215187415035,103,188,1.3284132841328413,0,4.11070110701107
6,2,0.4999999375000079,0.03137254889657824,51.0,35.68627450980392,34.67450980392157,91,157,1.407843137254902,0,4.086274509803921
0,2,-0.99999950000025,0.06451612695109267,7.75,38.70967741935484,18.583870967741937,12,16,1.4516129032258065,0,4.258064516129032
1,2,-0.33333322222225925,0.1666666574074079,18.0,38.88888888888889,22.75555555555556,7,10,1.5,0,4.555555555555555
2,0,0.99999950000025,0.09523809070294806,21.0,23.809523809523807,17.923809523809524,5,11,1.4285714285714286,0,4.428571428571429
4,2,0.33333327777778704,0.19999999333333354,10.0,33.33333333333333,17.333333333333332,10,18,1.4666666666666666,0,4.366666666666666
2,0,0.99999950000025,0.14285713265306196,14.0,64.28571428571429,31.314285714285717,9,10,1.6428571428571428,0,4.5
3,1,0.49999987500003124,0.05797101365259401,9.857142857142858,36.231884057971016,18.435610766045553,25,37,1.434782608695652,1,4.304347826086956
4,1,0.599999880000024,0.07352941068339103,8.5,45.588235294117645,21.63529411764706,31,37,1.6323529411764706,1,4.735294117647059
1,0,0.9999990000010001,0.07692307100591762,6.5,46.15384615384615,21.06153846153846,6,6,1.5384615384615385,0,4.384615384615385
0,0,0.0,0.0,6.0,33.33333333333333,15.733333333333333,2,3,1.3333333333333333,0,4.166666666666667
12,6,0.3333333148148158,0.07258064486862643,41.333333333333336,33.46774193548387,29.920430107526887,83,138,1.3588709677419355,0,4.314516129032258
4,1,0.599999880000024,0.048543688849090404,17.166666666666668,51.45631067961165,27.44919093851133,53,73,1.7184466019417475,0,5.165048543689321
3,2,0.199999960000008,0.17857142219387778,28.0,42.857142857142854,28.342857142857145,12,16,1.6428571428571428,0,4.392857142857143
8,3,0.4545454132231443,0.09909909820631443,27.75,38.73873873873874,26.595495495495495,43,66,1.5315315315315314,0,4.693693693693693
0,2,-0.99999950000025,0.07142856887755111,28.0,71.42857142857143,39.77142857142857,20,16,2.142857142857143,0,5.321428571428571
13,9,0.18181817355371938,0.11702127597329108,188.0,38.82978723404255,90.73191489361703,73,101,1.5265957446808511,1,4.51595744680851
6,6,0.0,0.08333333275462963,18.0,43.05555555555556,24.422222222222224,62,80,1.6111111111111112,3,4.569444444444445
0,0,0.0,0.0,7.5,13.333333333333334,8.333333333333334,2,5,1.2,0,3.066666666666667
2,0,0.99999950000025,0.07999999680000013,25.0,48.0,29.200000000000003,12,14,1.68,0,4.6
0,1,-0.9999990000010001,0.04999999750000012,6.666666666666667,65.0,28.66666666666667,13,13,1.85,0,5.7
6,3,0.33333329629630043,0.0899999991,16.666666666666668,41.0,23.06666666666667,41,63,1.41,0,4.34
2,2,0.0,0.047058822975778555,28.333333333333332,45.88235294117647,29.686274509803923,39,49,1.6470588235294117,0,4.5058823529411764
1,5,-0.6666665555555741,0.06451612833853626,23.25,44.086021505376344,26.93440860215054,41,69,1.5591397849462365,1,4.602150537634409
0,0,0.0,0.0,10.0,30.0,16.0,3,6,1.4,0,4.4
6,4,0.19999998000000202,0.09615384522928995,34.666666666666664,45.19230769230769,31.943589743589747,47,60,1.8173076923076923,0,5.596153846153846
1,0,0.9999990000010001,0.499999750000125,2.0,100.0,40.800000000000004,2,2,2.0,0,6.0
4,1,0.599999880000024,0.09090908925619838,27.5,36.36363636363637,25.545454545454547,20,30,1.3636363636363635,0,4.163636363636364
3,0,0.9999996666667778,0.06818181663223144,22.0,31.818181818181817,21.527272727272727,14,22,1.4772727272727273,0,4.113636363636363
3,1,0.49999987500003124,0.09302325365062201,43.0,30.23255813953488,29.293023255813956,13,16,1.441860465116279,0,3.7906976744186047
4,0,0.9999997500000625,0.07999999840000004,10.0,52.0,24.8,26,35,1.8,0,5.26
0,3,-0.9999996666667778,0.05172413703923902,29.0,46.55172413793103,30.220689655172414,27,33,1.6379310344827587,3,4.655172413793103
3,2,0.199999960000008,0.1351351314828343,18.5,43.24324324324324,24.697297297297297,16,19,1.5135135135135136,0,4.1891891891891895
0,5,-0.99999980000004,0.0943396208615166,26.5,49.056603773584904,30.22264150943396,26,41,1.5471698113207548,1,5.018867924528302
3,3,0.0,0.04838709638397503,15.5,42.74193548387097,23.296774193548387,53,77,1.4919354838709677,0,4.362903225806452
2,0,0.99999950000025,0.03999999920000002,8.333333333333334,48.0,22.533333333333335,24,27,1.54,0,4.46
8,4,0.3333333055555579,0.07947019814920399,37.75,39.735099337748345,30.994039735099342,60,94,1.403973509933775,0,4.198675496688741
3,1,0.49999987500003124,0.13333332888888902,30.0,60.0,36.0,18,19,1.8,0,5.4
5,6,-0.09090908264462885,0.08870967670395422,17.714285714285715,37.096774193548384,21.92442396313364,46,65,1.435483870967742,0,4.120967741935484
0,0,0.0,0.0,6.0,16.666666666666664,9.066666666666666,1,2,1.3333333333333333,0,3.6666666666666665
4,5,-0.11111109876543349,0.03658536570493754,20.5,39.83739837398374,24.134959349593498,98,113,1.5365853658536586,3,4.2317073170731705
10,5,0.3333333111111126,0.08379888221341407,44.75,39.10614525139665,33.542458100558655,70,91,1.5139664804469273,2,4.256983240223463
1,0,0.9999990000010001,0.09999999000000101,10.0,40.0,20.0,4,4,1.3,0,3.9
8,2,0.599999940000006,0.07874015686031373,63.5,39.37007874015748,41.148031496063,50,77,1.5275590551181102,0,4.716535433070866
12,4,0.4999999687500019,0.06751054823835212,47.4,41.77215189873418,35.66886075949367,99,140,1.5527426160337552,3,4.540084388185654
7,2,0.5555554938271674,0.09473684110803325,31.666666666666668,45.26315789473684,30.771929824561404,43,54,1.6210526315789473,0,4.726315789473684
1,1,0.0,0.07999999680000013,25.0,44.0,27.6,11,17,1.6,0,4.64
6,1,0.7142856122449125,0.08641975201950924,16.2,43.20987654320987,23.763950617283953,35,43,1.5925925925925926,0,4.506172839506172
4,1,0.599999880000024,0.14285713877551032,35.0,42.857142857142854,31.142857142857146,15,25,1.6,1,5.542857142857143
3,4,-0.1428571224489825,0.1555555520987655,45.0,44.44444444444444,35.77777777777778,20,26,1.488888888888889,1,4.288888888888889
1,0,0.9999990000010001,0.020408162848813003,49.0,38.775510204081634,35.11020408163265,19,28,1.4489795918367347,1,4.081632653061225
0,0,0.0,0.0,10.5,61.904761904761905,28.961904761904762,13,15,2.0476190476190474,0,5.571428571428571
2,3,-0.199999960000008,0.05952380881519275,14.0,45.23809523809524,23.695238095238096,38,47,1.5595238095238095,0,4.654761904761905
0,0,0.0,0.0,12.0,25.0,14.8,3,4,1.4166666666666667,0,4.5
0,0,0.0,0.0,8.0,37.5,18.2,3,4,1.375,0,4.375
0,0,0.0,0.0,38.0,23.684210526315788,24.673684210526318,9,23,1.3157894736842106,1,4.052631578947368
4,0,0.9999997500000625,0.13333332888888902,10.0,43.333333333333336,21.333333333333336,13,19,1.5333333333333334,0,4.566666666666666
4,0,0.9999997500000625,0.05882352854671282,68.0,25.0,37.2,17,33,1.2205882352941178,0,3.8823529411764706
1,1,0.0,0.03999999920000002,25.0,32.0,22.8,16,26,1.4,0,4.08
1,2,-0.33333322222225925,0.08333333101851859,12.0,27.77777777777778,15.911111111111111,10,16,1.2777777777777777,0,3.5
0,1,-0.9999990000010001,0.055555552469135974,9.0,44.44444444444444,21.37777777777778,8,11,1.5555555555555556,0,4.222222222222222
1,4,-0.599999880000024,0.06493506409175241,19.25,31.16883116883117,20.167532467532467,24,40,1.4025974025974026,0,4.363636363636363
5,0,0.99999980000004,0.3124999804687512,16.0,56.25,28.900000000000002,9,14,1.5625,0,4.625
1,0,0.9999990000010001,0.499999750000125,2.0,100.0,40.800000000000004,2,2,2.0,0,5.0
11,7,0.2222222098765439,0.09677419302809574,8.454545454545455,37.096774193548384,18.220527859237535,69,110,1.435483870967742,2,4.403225806451613
8,1,0.7777776913580343,0.051724137633769325,87.0,41.95402298850575,51.58160919540231,73,106,1.5402298850574712,0,4.637931034482759
3,1,0.49999987500003124,0.08333333159722227,48.0,45.83333333333333,37.53333333333333,22,30,1.6458333333333333,0,5.4375
0,0,0.0,0.0,2.0,0.0,0.8,0,2,1.0,0,4.0
5,1,0.6666665555555741,0.07058823446366783,7.083333333333333,55.294117647058826,24.950980392156865,47,60,1.7529411764705882,1,5.0
8,3,0.4545454132231443,0.060109289289020276,183.0,38.79781420765027,88.71912568306011,71,92,1.5136612021857923,2,4.584699453551913
1,0,0.9999990000010001,0.499999750000125,2.0,50.0,20.8,1,2,1.5,0,5.5
2,7,-0.5555554938271674,0.0857142848979592,15.0,38.095238095238095,21.23809523809524,40,65,1.4285714285714286,1,4.276190476190476
2,0,0.99999950000025,0.49999987500003124,4.0,75.0,31.6,3,4,1.75,0,5.75
3,0,0.9999996666667778,0.04687499926757814,32.0,37.5,27.8,24,39,1.5625,0,4.640625
8,0,0.9999998750000157,0.12698412496850595,31.5,46.03174603174603,31.012698412698413,29,39,1.5714285714285714,0,4.761904761904762
5,1,0.6666665555555741,0.10169491353059469,59.0,30.508474576271187,35.80338983050847,18,27,1.4576271186440677,0,3.864406779661017
4,0,0.9999997500000625,0.08333333159722227,48.0,37.5,34.2,18,25,1.5,0,4.0
1,0,0.9999990000010001,0.499999750000125,2.0,100.0,40.800000000000004,2,1,2.0,0,4.0
1,0,0.9999990000010001,0.06666666222222252,15.0,53.333333333333336,27.33333333333334,8,8,2.0,0,5.666666666666667
4,0,0.9999997500000625,0.0597014916462464,13.4,31.343283582089555,17.897313432835823,21,28,1.3582089552238805,0,3.7313432835820897
3,1,0.49999987500003124,0.12903225390218534,31.0,67.74193548387096,39.49677419354839,21,19,2.2580645161290325,0,6.451612903225806
0,1,-0.9999990000010001,0.09999999000000101,5.0,80.0,34.0,8,7,2.4,0,6.4
1,4,-0.599999880000024,0.09090908925619838,27.5,32.72727272727273,24.090909090909093,18,28,1.4727272727272727,0,4.163636363636364
3,0,0.9999996666667778,0.11111110699588492,27.0,44.44444444444444,28.57777777777778,12,16,1.5185185185185186,0,4.407407407407407
1,0,0.9999990000010001,0.24999993750001562,4.0,25.0,11.600000000000001,1,2,1.25,0,4.0
1,2,-0.33333322222225925,0.0857142832653062,35.0,34.285714285714285,27.71428571428571,12,21,1.4,0,4.2
3,1,0.49999987500003124,0.11111110802469146,36.0,38.88888888888889,29.955555555555556,14,19,1.5833333333333333,1,4.166666666666667
8,1,0.7777776913580343,0.1343283562040544,7.444444444444445,40.298507462686565,19.097180762852403,27,46,1.3582089552238805,0,4.3283582089552235
6,3,0.33333329629630043,0.07377049119860253,12.2,45.08196721311475,22.912786885245904,55,71,1.5901639344262295,0,4.516393442622951
4,2,0.33333327777778704,0.07228915575555234,16.6,34.93975903614458,20.615903614457835,29,48,1.3975903614457832,0,4.325301204819277
0,0,0.0,0.0,2.0,50.0,20.8,1,2,2.5,0,8.0
2,0,0.99999950000025,0.09999999500000024,6.666666666666667,35.0,16.666666666666668,7,12,1.4,0,4.4
2,0,0.99999950000025,0.09523809070294806,10.5,57.14285714285714,27.057142857142857,12,15,2.3333333333333335,0,6.666666666666667
7,1,0.7499999062500118,0.19512194646044034,8.2,34.146341463414636,16.938536585365853,14,22,1.4390243902439024,0,4.048780487804878
1,0,0.9999990000010001,0.11111109876543349,4.5,33.33333333333333,15.133333333333333,3,4,1.3333333333333333,0,3.7777777777777777
2,1,0.33333322222225925,0.08823529152249143,17.0,44.11764705882353,24.447058823529414,15,17,1.5294117647058822,0,4.205882352941177
0,0,0.0,0.0,5.666666666666667,58.82352941176471,25.796078431372553,10,12,1.8823529411764706,0,5.411764705882353
2,0,0.99999950000025,0.09523809070294806,7.0,33.33333333333333,16.133333333333333,7,10,1.2857142857142858,0,3.3333333333333335
4,1,0.599999880000024,0.1923076849112429,13.0,46.15384615384615,23.661538461538463,12,16,1.5769230769230769,0,4.5
3,0,0.9999996666667778,0.08108107888970058,12.333333333333334,40.54054054054054,21.14954954954955,15,19,1.3513513513513513,0,4.45945945945946
4,2,0.33333327777778704,0.11111110905349798,13.5,37.03703703703704,20.214814814814815,20,35,1.3518518518518519,0,4.148148148148148
2,0,0.99999950000025,0.1818181652892577,5.5,63.63636363636363,27.654545454545453,7,8,2.1818181818181817,0,6.545454545454546
1,0,0.9999990000010001,0.04999999750000012,6.666666666666667,65.0,28.66666666666667,13,13,1.9,0,5.25
3,1,0.49999987500003124,0.04494381971973237,11.125,30.337078651685395,16.58483146067416,27,49,1.4157303370786516,0,4.168539325842697
1,1,0.0,0.04545454442148763,7.333333333333333,47.72727272727273,22.024242424242427,21,30,1.5909090909090908,0,4.568181818181818
1,0,0.9999990000010001,0.08333332638888948,12.0,33.33333333333333,18.133333333333333,4,7,1.5,0,3.9166666666666665
4,0,0.9999997500000625,0.4999999375000079,8.0,100.0,43.2,8,8,2.5,0,6.75
1,0,0.9999990000010001,0.16666663888889352,6.0,66.66666666666666,29.066666666666663,4,5,2.1666666666666665,0,5.833333333333333
3,0,0.9999996666667778,0.13636363016528952,22.0,27.27272727272727,19.709090909090907,6,10,1.2727272727272727,0,3.909090909090909
4,2,0.33333327777778704,0.08333333217592595,8.0,34.72222222222222,17.08888888888889,25,38,1.4444444444444444,0,4.472222222222222
0,1,-0.9999990000010001,0.06666666222222252,7.5,46.666666666666664,21.666666666666668,7,11,1.6666666666666667,0,5.466666666666667
1,0,0.9999990000010001,0.09999999000000101,5.0,40.0,18.0,4,6,1.7,0,4.9
